date,transaction_id,description,debit_account,credit_account,amount
2025-02-01,F001,Owner startup investment,Cash,Owner's Capital,6000.00
2025-02-02,F002,Cooking equipment purchased for cash,Equipment,Cash,2500.00
2025-02-03,F003,Food inventory bought on account,Inventory,Accounts Payable,800.00
2025-02-05,F004,Lunch service cash sales,Cash,Sales Revenue,1500.00
2025-02-05,F005,Inventory used for lunch service,Cost of Goods Sold,Inventory,520.00
2025-02-06,F006,Fuel paid in cash,Fuel Expense,Cash,180.00
2025-02-08,F007,Catering invoice issued,Accounts Receivable,Sales Revenue,1200.00
2025-02-10,F008,Supplier balance paid,Accounts Payable,Cash,800.00
2025-02-12,F009,Catering invoice collected,Cash,Accounts Receivable,1200.00
2025-02-14,F010,Crew wages paid,Wages Expense,Cash,600.00
2025-02-16,F011,Weekend cash sales,Cash,Sales Revenue,1800.00
2025-02-16,F012,Inventory used for weekend service,Cost of Goods Sold,Inventory,630.00
