date,transaction_id,description,debit_account,credit_account,amount
2025-03-01,E001,Owner startup investment,Cash,Owner's Capital,7500.00
2025-03-02,E002,Opening inventory bought for cash,Inventory,Cash,2200.00
2025-03-03,E003,Store software subscription paid,Software Expense,Cash,120.00
2025-03-05,E004,Online sales collected,Cash,Sales Revenue,1900.00
2025-03-05,E005,Cost of products sold,Cost of Goods Sold,Inventory,760.00
2025-03-07,E006,Digital advertising paid,Advertising Expense,Cash,350.00
2025-03-09,E007,Wholesale order billed,Accounts Receivable,Sales Revenue,1400.00
2025-03-10,E008,New inventory bought on account,Inventory,Accounts Payable,1100.00
2025-03-12,E009,Wholesale invoice collected,Cash,Accounts Receivable,1400.00
2025-03-14,E010,Supplier balance paid,Accounts Payable,Cash,1100.00
2025-03-16,E011,Weekend online sales collected,Cash,Sales Revenue,2100.00
2025-03-16,E012,Cost of weekend products sold,Cost of Goods Sold,Inventory,840.00
