date,hour,category,item,qty,unit_price,weather,event,notes
2024-10-05,08,beverage,drip_coffee,31,2.50,clear,Homecoming,alumni traffic
2024-10-05,08,beverage,latte,19,4.00,clear,Homecoming,
2024-10-05,08,pastry,croissant,14,2.75,clear,Homecoming,early sell
2024-10-05,08,pastry,blueberry_muffin,12,2.50,clear,Homecoming,
2024-10-05,08,beverage,iced_coffee,10,3.00,clear,Homecoming,
2024-10-05,09,beverage,drip_coffee,38,2.50,clear,Homecoming,peak
2024-10-05,09,beverage,latte,24,4.00,clear,Homecoming,
2024-10-05,09,beverage,cappuccino,11,3.75,clear,Homecoming,
2024-10-05,09,pastry,croissant,18,2.75,clear,Homecoming,
2024-10-05,09,pastry,chocolate_chip_cookie,11,2.00,clear,Homecoming,
2024-10-05,10,beverage,drip_coffee,29,2.50,clear,None,
2024-10-05,10,beverage,latte,21,4.00,clear,None,
2024-10-05,10,beverage,chai_latte,9,3.50,clear,None,
2024-10-05,10,pastry,banana_bread,9,2.75,clear,None,
2024-10-05,10,pastry,croissant,12,2.75,clear,None,
2024-10-05,11,beverage,iced_coffee,16,3.00,clear,None,
2024-10-05,11,beverage,drip_coffee,23,2.50,clear,None,
2024-10-05,11,food,breakfast_burrito,10,5.50,clear,None,
2024-10-05,11,food,ham_panini,7,6.50,clear,None,
2024-10-05,11,pastry,brownie,7,2.25,clear,None,
2024-10-05,12,food,veggie_panini,10,6.25,clear,None,lunch start
2024-10-05,12,food,grilled_cheese,8,5.75,clear,None,
2024-10-05,12,beverage,latte,15,4.00,clear,None,
2024-10-05,12,beverage,iced_tea,11,2.75,clear,None,
2024-10-05,12,pastry,chocolate_chip_cookie,9,2.00,clear,None,
2024-10-05,13,food,ham_panini,10,6.50,clear,None,lunch peak
2024-10-05,13,food,veggie_panini,11,6.25,clear,None,
2024-10-05,13,beverage,iced_coffee,18,3.00,clear,None,
2024-10-05,13,beverage,lemonade,9,3.00,clear,None,
2024-10-05,13,pastry,brownie,8,2.25,clear,None,
2024-10-05,14,food,grilled_cheese,9,5.75,clear,None,
2024-10-05,14,food,caesar_salad,7,6.75,clear,None,
2024-10-05,14,beverage,iced_tea,13,2.75,clear,None,
2024-10-05,14,beverage,latte,12,4.00,clear,None,
2024-10-05,14,pastry,blueberry_muffin,7,2.50,clear,None,
2024-10-05,15,beverage,drip_coffee,15,2.50,clear,None,afternoon dip
2024-10-05,15,beverage,iced_coffee,13,3.00,clear,None,
2024-10-05,15,beverage,chai_latte,7,3.50,clear,None,
2024-10-05,15,pastry,croissant,6,2.75,clear,None,
2024-10-05,15,food,grilled_cheese,6,5.75,clear,None,
2024-10-06,08,beverage,drip_coffee,27,2.50,cloudy,None,slower sunday
2024-10-06,08,beverage,latte,16,4.00,cloudy,None,
2024-10-06,08,pastry,croissant,12,2.75,cloudy,None,
2024-10-06,08,pastry,blueberry_muffin,10,2.50,cloudy,None,
2024-10-06,08,beverage,iced_coffee,8,3.00,cloudy,None,
2024-10-06,09,beverage,drip_coffee,31,2.50,cloudy,None,
2024-10-06,09,beverage,latte,18,4.00,cloudy,None,
2024-10-06,09,beverage,cappuccino,9,3.75,cloudy,None,
2024-10-06,09,pastry,croissant,13,2.75,cloudy,None,
2024-10-06,09,pastry,chocolate_chip_cookie,8,2.00,cloudy,None,
2024-10-06,10,beverage,drip_coffee,24,2.50,cloudy,None,
2024-10-06,10,beverage,latte,17,4.00,cloudy,None,
2024-10-06,10,beverage,chai_latte,6,3.50,cloudy,None,
2024-10-06,10,pastry,banana_bread,8,2.75,cloudy,None,
2024-10-06,10,pastry,croissant,9,2.75,cloudy,None,
2024-10-06,11,food,breakfast_burrito,8,5.50,cloudy,None,
2024-10-06,11,beverage,drip_coffee,20,2.50,cloudy,None,
2024-10-06,11,beverage,iced_coffee,11,3.00,cloudy,None,
2024-10-06,11,food,ham_panini,6,6.50,cloudy,None,
2024-10-06,11,pastry,brownie,6,2.25,cloudy,None,
2024-10-06,12,food,veggie_panini,8,6.25,cloudy,None,lunch start
2024-10-06,12,food,grilled_cheese,7,5.75,cloudy,None,
2024-10-06,12,beverage,iced_tea,10,2.75,cloudy,None,
2024-10-06,12,beverage,latte,13,4.00,cloudy,None,
2024-10-06,12,pastry,chocolate_chip_cookie,7,2.00,cloudy,None,
2024-10-06,13,food,ham_panini,8,6.50,cloudy,None,lunch modest
2024-10-06,13,food,veggie_panini,9,6.25,cloudy,None,
2024-10-06,13,beverage,iced_coffee,13,3.00,cloudy,None,
2024-10-06,13,beverage,lemonade,8,3.00,cloudy,None,
2024-10-06,13,pastry,brownie,6,2.25,cloudy,None,
2024-10-06,14,food,grilled_cheese,7,5.75,cloudy,None,
2024-10-06,14,food,caesar_salad,6,6.75,cloudy,None,
2024-10-06,14,beverage,iced_tea,10,2.75,cloudy,None,
2024-10-06,14,beverage,latte,10,4.00,cloudy,None,
2024-10-06,14,pastry,blueberry_muffin,5,2.50,cloudy,None,
2024-10-06,15,beverage,drip_coffee,13,2.50,cloudy,None,closeout
2024-10-06,15,beverage,iced_coffee,10,3.00,cloudy,None,
2024-10-06,15,beverage,chai_latte,5,3.50,cloudy,None,
2024-10-06,15,pastry,croissant,4,2.75,cloudy,None,low waste
2024-10-06,15,food,grilled_cheese,4,5.75,cloudy,None,
